Country,Clicks,Impressions,CTR,Position
United States,11,1292,0.85%,52.28
Philippines,1,4,25%,30.25
Portugal,1,1,100%,1
India,0,10,0%,109.2
Denmark,0,3,0%,7.67
Mexico,0,3,0%,35
Brazil,0,3,0%,43.67
Egypt,0,2,0%,21.5
Georgia,0,2,0%,30
Canada,0,2,0%,39.5
Vietnam,0,2,0%,42.5
Uruguay,0,1,0%,4
Nigeria,0,1,0%,10
Qatar,0,1,0%,24
Ecuador,0,1,0%,26
Bulgaria,0,1,0%,27
Colombia,0,1,0%,32
South Korea,0,1,0%,39
Venezuela,0,1,0%,45
Cambodia,0,1,0%,48
