Country,Clicks,Impressions,CTR,Position
United States,4,418,0.96%,56.54
India,0,3,0%,90.67
Georgia,0,2,0%,30
Philippines,0,2,0%,37
Brazil,0,2,0%,43
Nigeria,0,1,0%,10
Qatar,0,1,0%,24
Cambodia,0,1,0%,48
